模拟值,模拟类型,源
0.9332862648054011,all,MAXI J1820+070
0.932862005338613,all,MAXI J1820+070
0.9542540593237293,all,MAXI J1820+070
0.9586441366385999,all,MAXI J1820+070
0.9307111754158983,all,MAXI J1820+070
0.9333100556756029,all,MAXI J1820+070
0.9514252281950414,all,MAXI J1820+070
0.9453351999314239,all,MAXI J1820+070
0.9467642810532092,all,MAXI J1820+070
0.9489660129485306,all,MAXI J1820+070
0.9375926783825592,all,MAXI J1820+070
0.9432996992499018,all,MAXI J1820+070
0.9425219215069809,all,MAXI J1820+070
0.9314150839975454,all,MAXI J1820+070
0.943150909432157,all,MAXI J1820+070
0.9523771069614966,all,MAXI J1820+070
0.9366586676115664,all,MAXI J1820+070
0.9415256924874092,all,MAXI J1820+070
0.9420670891601085,all,MAXI J1820+070
0.9371533544956473,all,MAXI J1820+070
0.9467690123769436,all,MAXI J1820+070
0.9331993436874501,all,MAXI J1820+070
0.9533264551869592,all,MAXI J1820+070
0.9462620556163224,all,MAXI J1820+070
0.930632313993271,all,MAXI J1820+070
0.9569800968488624,all,MAXI J1820+070
0.9416810146126159,all,MAXI J1820+070
0.9327705248276494,all,MAXI J1820+070
0.9510455452499118,all,MAXI J1820+070
0.9449467151944801,all,MAXI J1820+070
0.9222804029576596,all,MAXI J1820+070
0.9347433968275614,all,MAXI J1820+070
0.9427909733722154,all,MAXI J1820+070
0.9184043332235734,all,MAXI J1820+070
0.9408507008538739,all,MAXI J1820+070
0.9415797937270526,all,MAXI J1820+070
0.9281650811762417,all,MAXI J1820+070
0.9427064488625996,all,MAXI J1820+070
0.9400746383912503,all,MAXI J1820+070
0.9280870589411498,all,MAXI J1820+070
0.9491956054686282,all,MAXI J1820+070
0.948378537947678,all,MAXI J1820+070
0.9371026291314764,all,MAXI J1820+070
0.9380141867660817,all,MAXI J1820+070
0.9472626393759535,all,MAXI J1820+070
0.9379933685688819,all,MAXI J1820+070
0.9206909179947984,all,MAXI J1820+070
0.9448693655739993,all,MAXI J1820+070
0.9318674067926148,all,MAXI J1820+070
0.936101569455824,all,MAXI J1820+070
0.9545787056795147,all,MAXI J1820+070
0.938660215259912,all,MAXI J1820+070
0.9400173493587387,all,MAXI J1820+070
0.9450966727546359,all,MAXI J1820+070
0.9450533394387403,all,MAXI J1820+070
0.9308080223262221,all,MAXI J1820+070
0.9393970148446562,all,MAXI J1820+070
0.9403615252792582,all,MAXI J1820+070
0.9427202689662882,all,MAXI J1820+070
0.9428922194091661,all,MAXI J1820+070
0.9658744122877745,all,MAXI J1820+070
0.9282414022941275,all,MAXI J1820+070
0.9498009162019795,all,MAXI J1820+070
0.9518337580583305,all,MAXI J1820+070
0.9449278397392352,all,MAXI J1820+070
0.9334968460512691,all,MAXI J1820+070
0.9566466803026762,all,MAXI J1820+070
0.918080171352598,all,MAXI J1820+070
0.9331673330278217,all,MAXI J1820+070
0.9517168219722281,all,MAXI J1820+070
0.9362988839657748,all,MAXI J1820+070
0.9559646452480018,all,MAXI J1820+070
